Name,Branch,Place,Exams Accepted,Fees
"CMR Institute of Technology, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 213,840"
"Goa College of Engineering, Farmagudi",BE Mechanical Engineering,"Ponda, Goa",GCET,"Fees:  ₹ 88,000"
"Mepco Schlenk Engineering College, Sivakasi",BE Mechanical Engineering,"Melamattur, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"Fr Conceicao Rodrigues College of Engineering, Mumbai",BE Mechanical Engineering,"Mumbai, Maharashtra",MAHA,"Fees:  ₹ 586,000"
"College of Engineering and Technology, Bhubaneswar",B.Tech Mechanical Engineering,"Bhubaneshwar, Odisha",OJEE,"Fees:  ₹ 236,200"
"BV Raju Institute of Technology, Narsapur",B.Tech Mechanical Engineering,"Narsapur, Telangana",TS,"Fees:  ₹ 414,000"
Indian Institute of Technology Patna,B.Tech Mechanical Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 845,390"
Maulana Azad National Institute of Technology Bhopal,B.Tech Mechanical Engineering,"Bhopal, Madhya Pradesh",JEE,"Fees:  ₹ 558,911"
"RNS Institute of Technology, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",KCET,"Fees:  ₹ 318,000"
"Sri Ramakrishna Engineering College, Coimbatore",BE Mechanical Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"Government Engineering College, Ajmer",B.Tech Mechanical Engineering,"Ajmer, Rajasthan",JEE,"Fees:  ₹ 120,000"
"BIT Sindri, Dhanbad",B.Tech Mechanical Engineering,"Dhanbad, Jharkhand",JEECE,"Fees:  ₹ 147,223"
National Institute of Technology Patna,B.Tech Mechanical Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 565,500"
"JSS Academy of Technical Education, Noida",B.Tech Mechanical Engineering,"Noida, Uttar Pradesh",UPSEE,"Fees:  ₹ 485,720"
"BNM Institute of Technology, Bangalore",BE Mechanical Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 333,266"
"Sreenidhi Institute of Science and Technology, Ghatkesar",B.Tech Mechanical Engineering,"Yamnampet, Telangana",TS,"Fees:  ₹ 376,000"
