Name,Branch,Place,Exams Accepted,Fees
"Tezpur University, Tezpur",B.Tech Civil Engineering,"Tezpur, Assam",JEE,"Fees:  ₹ 163,344"
"BMS Institute of Technology and Management, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 132,000"
"Pimpri Chinchwad College of Engineering, Pune",BE Civil Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 458,164"
"Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",BE Civil Engineering,"Kelambakkam, Tamil Nadu",NA,"Fees:  ₹ 160,000"
"TKM College of Engineering, Kollam",B.Tech Civil Engineering,"Kollam, Kerala",NA,"Fees:  ₹ 45,025"
"Amity School of Engineering, Noida",B.Tech Civil Engineering,"Noida, Uttar Pradesh",JEE,"Fees:  ₹ 1,060,000"
"ABES Engineering College, Ghaziabad",B.Tech Civil Engineering,"Ghaziabad, Uttar Pradesh",JEE,"Fees:  ₹ 575,200"
"Guru Nanak Dev Engineering College, Ludhiana",B.Tech Civil Engineering,"Ludhiana, Punjab",JEE,"Fees:  ₹ 362,289"
"Christ University, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",Christ,"Fees:  ₹ 795,000"
"Gandhigram Rural Institute, Dindigul",B.Tech Civil Engineering,"Chinnalapatti, Tamil Nadu",NA,NA
National Institute of Technology Raipur,B.Tech Civil Engineering,"Raipur, Chhattisgarh",JEE,"Fees:  ₹ 540,000"
"PES University, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",KCET,"Fees:  ₹ 192,000"
"GMR Institute of Technology, Rajam",B.Tech Civil Engineering,"Srikakulam, Andhra Pradesh",AP,"Fees:  ₹ 440,800"
"AMC Engineering College, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",JEE,"Fees:  ₹ 500,000"
"Sri Krishna College of Engineering and Technology, Coimbatore",BE Civil Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 200,000"
"Graphic Era University, Dehradun",B.Tech Civil Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 812,000"
"Sharda University, Greater Noida",B.Tech Civil Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 656,000"
"Sri Venkateswara University College of Engineering, Tirupati",B.Tech Civil Engineering,"Tirupati, Andhra Pradesh",AP,"Fees:  ₹ 42,000"
"CMR University, Bangalore",B.Tech Civil Engineering,"Bangalore, Karnataka",NA,"Exams:  COMEDK UGET ,  KCET "
"Government Engineering College, Thrissur",B.Tech Civil Engineering,"Thrissur, Kerala",KEAM,"Fees:  ₹ 20,685"
"Government College of Engineering, Karad",B.Tech Civil Engineering,"Karad, Maharashtra",JEE,"Fees:  ₹ 338,404"
"Anurag Group of Institutions, Ghatkesar",B.Tech Civil Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 500,000"
"Birla Vishvakarma Mahavidyalaya, Anand",B.Tech Civil Engineering,"Anand, Gujarat",GUJCET,"Fees:  ₹ 33,260"
"Shanmugha Arts Science Technology Research and Academy, Thanjavur",B.Tech Civil Engineering,"Thanjavur, Tamil Nadu",JEE,"Fees:  ₹ 559,500"
"Guru Gobind Singh Indraprastha University, Delhi",B.Tech Civil Engineering,"New Delhi, Delhi",IPU,"Fees:  ₹ 256,000"
"Guru Ghasidas Vishwavidyalaya, Bilaspur",B.Tech Civil Engineering,"Bilaspur, Chhattisgarh",JEE,"Fees:  ₹ 110,000"
"Malnad College of Engineering, Hassan",BE Civil Engineering,"Hassan, Karnataka",KCET,"Fees:  ₹ 105,560"
"Sir M Visvesvaraya Institute of Technology, Bangalore",BE Civil Engineering,"Bangalore, Karnataka",COMEDK,"Fees:  ₹ 278,311"
"University College of Engineering, Osmania University, Hyderabad",BE Civil Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 49,700"
"Dr BC Roy Engineering College, Durgapur",B.Tech Civil Engineering,"Durgapur, West Bengal",NA,"Fees:  ₹ 363,000"
"Galgotias College of Engineering and Technology, Greater Noida",B.Tech Civil Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 484,412"
"Thapar Institute of Engineering and Technology, Patiala",BE Civil Engineering,"Patiala, Punjab",JEE,"Fees:  ₹ 731,100"
"College of Technology, GB Pant University of Agriculture and Technology, Pantnagar",B.Tech Civil Engineering,"Pantnagar, Uttarakhand",JEE,"Fees:  ₹ 222,356"
"Lakshmi Narain College of Technology, Bhopal",BE Civil Engineering,"Bhopal, Madhya Pradesh",JEE,"Fees:  ₹ 1,022,000"
"Institute of Aeronautical Engineering, Dundigal",B.Tech Civil Engineering,"Domara Pocham Pally, Telangana",TS,"Fees:  ₹ 268,000"
"RVR and JC College of Engineering, Guntur",B.Tech Civil Engineering,"Guntur, Andhra Pradesh",AP,"Fees:  ₹ 451,000"
"YMCA University of Science and Technology, Faridabad",B.Tech Civil Engineering,"Faridabad, Haryana",NA,"Fees:  ₹ 291,800"
"Bhagalpur College of Engineering, Bhagalpur",B.Tech Civil Engineering,"Bhagalpur, Bihar",BCECE,"Fees:  ₹ 57,800"
"KLE Technological University, Hubballi",BE Civil Engineering,"Hubli, Karnataka",JEE,"Fees:  ₹ 343,200"
"Rajalakshmi Engineering College, Chennai",BE Civil Engineering,"Chennai, Tamil Nadu",NA,"Fees:  ₹ 180,000"
"Jabalpur Engineering College, Jabalpur",BE Civil Engineering,"Jabalpur, Madhya Pradesh",JEE,"Fees:  ₹ 89,200"
"GH Raisoni College of Engineering, Nagpur",BE Civil Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 628,644"
National Institute of Technology Puducherry Karaikal,B.Tech Civil Engineering,"Thiruvettakudy, Puducherry",JEE,"Fees:  ₹ 271,850"
"VNR Vignana Jyothi Institute of Engineering and Technology, Hyderabad",B.Tech Civil Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 394,000"
"Guru Nanak Institutions Technical Campus, Ibrahimpatnam",B.Tech Civil Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 312,000"
"Chandigarh College of Engineering and Technology, Chandigarh",BE Civil Engineering,"Chandigarh, Chandigarh",JEE,"Fees:  ₹ 297,000"
"Institute of Engineering and Rural Technology, Allahabad",B.Tech Civil Engineering,"Allahabad, Uttar Pradesh",UPSEE,"Fees:  ₹ 184,400"
